Providers,Address,Specialty,Latitude,Longitude
"Affiliates In Psychotherapy, P.A. Psychologist – Dr. Pasahow ","600 New Road, Northfield, NJ 08225 ",Post-concussion,39.3790494,-74.5485605
Alliance Orthopedics,"1455 Broad St #250, Bloomfield, NJ 07003, United States",,40.83937080484341, -74.18433062698487
Alliance Orthopedics,"222 Banta Pl, Fair Lawn, NJ 07410, United States",,40.92533178576451, -74.1143825079629
Alliance Orthopedics,"210 Mounts Corner Dr, Freehold, NJ 07728, United States",,40.24434314967824, -74.305397
Alliance Orthopedics,"150 Tices Ln, East Brunswick, NJ 08816, United States",,40.45375814685545, -74.41717167726497
Alliance Orthopedics,"300 Perrine Rd STE 315, Old Bridge, NJ 08857, United States",,40.43482663340546, -74.30074983067904
Alliance Orthopedics,"765 NJ-10, Randolph, NJ 07869, United States",,40.859436697189324, -74.5912225079629
Alliance Orthopedics,"525 NJ-35, Middletown Township, NJ 07701, United States",,40.379966129126885, -74.09070732271613
Alliance Orthopedics,"1311 Morris Ave, Union, NJ 07083, United States",,40.688238008071274, -74.24232437300928
Allied Spine and Rehab/Dr. Jeff Eichenbaum,"401 Route 70 East, Suite 201, Cherry Hill, NJ",Chiro,39.911731,-75.0018755
Atlantic Family Spine and Pain,"Galloway, NJ",Chiro,39.6475257,-74.7886268
Atlantic Family Spine and Pain,"Egg Harbor Twp, NJ",Chiro,39.6475257,-74.7886268
Atlantic Family Spine and Pain,"Atlantic City, NJ",Chiro,39.6475257,-74.7886268
Atlantic Family Spine and Pain,"Hammonton, NJ",Chiro,39.6475257,-74.7886268
Bird Chiropractic,"1307 White Horse Road, Bldg B, Suite 200, Voorhees, NJ",Chiro,39.8560639,-74.9786395
Burlington Spine and Rehab,"81 Somerset Drive, Willingboro, NJ 08046",Spine,40.047217254709466, -74.89448651673624
Burlington Spine and Rehab,"28 Union Avenue, Suite 1, Manasquan, NJ 08736",Spine,40.12101703431437, -74.04940700323816
Center for Joint and Spine Relief,"311 Newark Ave, Jersey City, NJ 07302","Chiro,PT,Pain Management, Minor Ortho",40.72456083499372, -74.05112681855444
Center for Joint and Spine Relief,"22 Clinton St, Newark NJ 07102","Chiro,PT,Pain Management, Minor Ortho",40.73680448313465, -74.17083456088434
Center for Joint and Spine Relief,"843 Rahway Ave Woodbridge NJ 07095","PT,Pain Management, Minor Ortho",40.570071266958685, -74.27209003205581
Center for Joint and Spine Relief,"670 North Beers Street, Bldg 2 Holmdel NJ 07733","Chiro,PT,Pain Management, Minor Ortho",40.40915870321134, -74.1966998608968
Dr.Menkin,"554 Tompkins Ave, Staten Island NY 10305",,40.61253536173758, -74.07159336088904
Dr.Menkin,"2001 Marcus Ave, New Hyde Park, NY 11042",,40.75557828829128, -73.68990041855326
Calzaretto Chiro,"401 Cooper Landing Road, Suite C17, Cherry Hill, NJ ",,39.923487,-75.0164405
Coastal Spine,"4000 Church Road Mt. Laurel, NJ 08054","Ortho-Neuro - Spine surgery, pain management",39.9259131,-74.9626613
Coastal Spine,"102 Heritage Valley Drive, Suite C, Sewell, NJ ","Spine surgery, pain management",39.7484052,-75.081902
Coastal Spine ,"408 Chris Gaupp Drive St. 250, Galloway, NJ 08205","Neurosurgery, ortho spine, Pain management",39.4715026,-74.542295
Comprehensive Foot & Ankle,"Atco, NJ",Foot/Ankle,39.77152946,-74.90130007
Comprehensive Foot & Ankle,"Voorhees, NJ",Foot/Ankle,39.86229969,-74.96225006
Comprehensive Foot & Ankle,"Cherry Hill, NJ",Foot/Ankle,39.89357394,-75.02210904
Comprehensive Pain Solutions ,"10 East New York Ave, Suite 3, Somers Point, NJ ",,39.3143568,-74.5946545
Comprehensive Pain Solutions ,"76 W Jimmie Leeds Road, Suite 302, Galloway, NJ",Pain and neurosurgeon,39.4755844,-74.5435029
Comprehensive Pain Solutions ,"2250 Chapel Ave West, Suite 230, Cherry Hill, NJ ",Pain Management,39.92917,-75.0156246
Comprehensive Pain Solutions ,"1014 N High Street, Millville, NJ ",,39.4070528,-75.0397888
Comprehensive Pain Solutions ,"123 Egg Harbor Road, Suite 502, Sewell, NJ ","Pain, neurosurgeon and Extremity Ortho",39.781351,-75.1009295
Comprehensive Pain Solutions ,"1900 Corlies Ave, Street level-Suite A, Neptune, NJ ",,40.2078103,-74.0367887
"Ctr for Neurosurgery, Spine and Orthopedics","1680 State Rd 23 N Service Rd Suite 250, Wayne, NJ 07470","Neurosurgeon, Spine, ortho",40.9414511,-74.2694389
"Ctr for Neurosurgery, Spine and Orthopedics","1680 Route 23 North, Suite 250, Wayne, NJ 07470","Neurosurgeon, Spine, ortho",40.9415374,-74.2696287
"Dane Hardy, DC","Cinnaminson, NJ",Chiro,39.9971913,-74.9922785
DNP Medical,"15 East Taunton Ave, Berlin, NJ 08009",Heart,39.7930165,-74.9283157
Dr. Bram,"1806 Highway 35, Oakhurst NJ 07755",Pain Management,40.26047325746733, -74.04236063206763
Dr. Bram,"1901 Hooper Ave Suite A, Toms River, NJ 08753",Pain Management,40.01620767241289, -74.14464061858159
Dr. Bram,"69 Brunswick Woods Drive, East Brunswick, NJ 08816",Pain Management,40.42192358461305, -74.39140347439174
Dr. Alberti,"4712 Ventnor Ave #1, Atlantic City, NJ 08401",Chiro,39.3459146,-74.4658657
Dr. Andy Herman,"Gloucester City, NJ",chiro,39.892839,-75.1204098
Dr. Arthur Cohen,"2 Pacific Ave, Pleasantville, NJ 08232",Chiro,39.4054977,-74.5099721
Dr. Barry Conigio,"1144 Mantua Pike, Mantua, NJ 08051",Chiro,39.7985712,-75.1702849
Dr. Biggiani,"Sicklerville , NJ",Chiro,39.7172152,-74.9697707
Dr. Christopher Taylor,"1308 Route 38 East, Hainesport, NJ 08036",Chiro,39.9729041,-74.8453514
Dr. Craig Rosen,"9 Eves Drive, Marlton, NJ",Ortho,39.9114787,-74.9310327
Dr. Dawn and Ryan Wille-Springfield Chiro,"1 Pine Tree Lane, Jobstown, NJ",Chiro,40.021383,-74.7246623
Dr. Ellery Panaia,"1299 Brace Road, Cherry Hill, NJ ",Chiro,39.8973565,-75.0150241
Dr. Frank McCormick,"Cherry Hill, NJ",Hand Surgeon/Ortho Surgeon,39.9139124,-75.0102047
Dr. Frank Tursi,"Voorhees, NJ",Foot/Ankle,39.8448391,-74.9416855
Dr. Ilana Etelzon/Pain Doctors NY,"1135 Clifton Ave, Suite 208, Clifton, NJ",Pain Management,40.8596388,-74.1670694
Dr. Ilana Etelzon/Pain Doctors NY,"Manalapan, NJ",Pain Management,40.29001918,-74.34143156
Dr. James Matthews,"Marlton, NJ",Chiro,39.8912248,-74.9218324
Dr. James Panaia,"242 W. Landis Ave, Vineland, NJ",Chiro,39.4867044,-75.0310643
Dr. Joan O'Shea,"512 Lippincott Drive, Marlton, NJ",Neurosurgeon,39.882238,-74.925483
Dr. Joseph Zerbo,"1999 New Road, Linwood, NJ",,39.3379398,-74.5870131
Dr. Joseph Zerbo,"2090 Springdale Road, Cherry Hill, NJ ",Ortho Spine,39.9183651,-74.9651627
Dr. Laura Ross,"300 Creek Crossing Blvd, Suite 307, Hainesport, NJ",Ortho,39.9752868,-74.8479521
Dr. Leonard Probe,"740 Mantua Pike, Woodbury, NJ",Chiro,39.8226239,-75.1607931
